English,Tigrigna,POS_CATEGORIES,POS,MorphFeatures
a little,"ንእሽቶይ, ቁሩብ,ውሕድ",(adv) adverb,adverb,none
a long time,ነዊሕ ግዝ,(adv) adverb,adverb,none
a lot,ብዙሕ,(adv) adverb,adverb,none
abandon,"ገደፈ, ረጥረጠ",(v) verb,verb,none
abandonment,ርጥረጣ,(n) noun,noun,none
abbot,ኣባ,(n) noun,noun,none
ability,"ጥበብ, ክእለት, ብቕዓት",(n) noun,noun,none
able,"ጥበባዊ, ክእለታዊ",(a) adjective,adjective,none
above,ኣብ ልዕሊ,(adv) adverb,adverb,none
abrupt,ሃንደበት,(n) noun,noun,none
abruptly,ብጋህዲ,(adv) adverb,adverb,none
abscess,ሓገል,(n) noun,noun,none
absence,ብኩራት,(n) noun,noun,none
absent (from oneself),ቦኾረ,(v) verb,verb,none
absent,ብኹር,(a) adjective,adjective,none
absent minded,ዝንጉዕ,(a) adjective,adjective,none
absent mindedness,ምዝንጋዕ,(n) noun,noun,none
absolute,ፍጹም,(a) adjective,adjective,none
absolutely,ብፍጹም,(adv) adverb,adverb,none
absolve,ፈተሐ,(v) verb,verb,none
abundance,"ታዐሚ, እኹልተረፍ",(n) noun,noun,none
abuse,"በደል, ጸርፊ",(n) noun,noun,none
abuse,ጸረፈ,(v) verb,verb,none
abusive,በደላዊ,(a) adjective,adjective,none
abusively,ብድላ,(a) adjective,adjective,none
accept,ተቐበለ,(v) verb,verb,none
accident,ሓደጋ,(n) noun,noun,none
accidental,"ሓደጋዊ, ሃንደበታዊ",(a) adjective,adjective,none
accidentally,ብሓደጋ,(a) adjective,adjective,none
acclaim,ኣጨብጨበ,(v) verb,verb,none
acclamation,ውዕውዕ ደገፍታ,(n) noun,noun,none
accompany,ኣሰነየ,(v) verb,verb,none
account,ሕሳብ,(n) noun,noun,none
accuracy,"ሓቂ, ልክዕ, ቅኑዕ,ልክዕነት",(n) noun,noun,none
accurate,"ሓቓዊ, ልክዓዊ, ቕንዓዊ",(a) adjective,adjective,none
accurately,"ብሓቂ, ብልክዕ,ብቑኑዕ",(a) adjective,adjective,none
accusation,"ወከሰ, ክሲ",(n) noun,noun,none
accuse,"ምውካስ, ከሰሰ",(v) verb,verb,none
accuser,"ወካሲት, ከሳሲት",(nf) noun feminine,noun,feminine
accuser,"ወካሲ, ከሳሲ",(nm) noun masculine,noun,masculine
accusers,"ወከስቲ, ከሰስቲ",(np) noun plural,noun,plural
"accustomed, get",ኣልመደ,(v) verb,verb,none
ache,ቓንዛ,(n) noun,noun,none
achieve,ፈጸመ,(v) verb,verb,none
achievement,ጭብጢ,(n) noun,noun,none
aching,መቐንዘዊ,(a) adjective,adjective,none
achy,ቓንዛዊ,(a) adjective,adjective,none
acidic,መጺጽ,(a) adjective,adjective,none
acorn,ፍረ ኦክ,(n) noun,noun,none
acquaint,"ምልላይ, ምፍላጥ",(v) verb,verb,none
acquaintance,"ሌላ, ፍልጠት",(n) noun,noun,none
acquire,ረኸበ,(v) verb,verb,none
acquit,"ፈተሐ, ንጹህ, ቕንዕና",(v) verb,verb,none
acquittal,"ምኽፋል ዕዳ,",(n) noun,noun,none
act,"ገበረ, ምግባር, ምትውሳእ",(v) verb,verb,none
action,"ተግባር, ግብሪ",(n) noun,noun,none
actively,"ተግባራዊ, ግብራዊ",(a) adjective,adjective,none
activity,"ንጥፈት, ስራሕ",(n) noun,noun,none
actor,ተዋሳአይ,(nm) noun masculine,noun,masculine
actors,ተዋሰእቲ,(pl) noun plural,noun,plural
actress,ተዋሳኢት,(nf) noun feminine,noun,feminine
actresses,ተዋሰእቲ,(pl) noun plural,noun,plural
add,ደመረ,(v) verb,verb,none
addition,ምድማር,(n) noun,noun,none
address,ኣድራሻ,(n) noun,noun,none
addressee,ተቐባላይ,(n) noun,noun,none
adjacent,ጎረቤት,(an) adjective noun,adjective,noun-derived
adjust,"ተቖጻጸረ, ምልዋጥ,",(v) verb,verb,none
administer,ኣምሓደረ,(v) verb,verb,none
administration,ምምሕዳር,(n) noun,noun,none
administrations,ምምሕዳራት,(n) noun,noun,none
administrator,አማሓዳሪት,(nf) noun feminine,noun,feminine
administrator,አማሓዳሪ,(nm) noun masculine,noun,masculine
administrators,አማሓደርቲ,(npl) noun plural,noun,plural
admirable,ድንቂ,(a) adjective,adjective,none
admiration,ኣድንቖት,(n) noun,noun,none
admire,ኣድነቐ,(v) verb,verb,none
admit,ተኣመነ,(v) verb,verb,none
adolescence,ጉብዝና,(n) noun,noun,none
adorable,"(af) ኣደናቒት, ምጩውቲ",(uncategorized) Uncategorized,uncategorized,none
adorable,"(am) ኣደናቒ, ምጩይ",(uncategorized) Uncategorized,uncategorized,none
adore,"ኣምለኸ, ምድናቕ,",(v) verb,verb,none
advance,ቅድሚት,(n) noun,noun,none
advantage,ረብሓ,(n) noun,noun,none
adventure,ዕንደራ,(n) noun,noun,none
adversary,ተጻራሪ,(n) noun,noun,none
advertisement,ረክላም,(n) noun,noun,none
advice,ምኽሪ,(n) noun,noun,none
advise,መኸረ,(v) verb,verb,none
adviser,ኣማኻሪ,(nm) noun masculine,noun,masculine
advocate,"ጠበቓ, ወከል, ሐገዝ",(n) noun,noun,none
advocate,"ምውካል, ምሕጋዝ",(v) verb,verb,none
advocator,"ወካሊት, ሐጋዚት",(nf) noun feminine,noun,feminine
advocator,"ወካሊ, ሓጋዚ",(nm) noun masculine,noun,masculine
advocator,"ወከልቲ, ሓገዝቲ",(npl) noun plural,noun,plural
aerate,ኣናፈሰ,(v) verb,verb,none
affect,"ሳዕቤን, ተንከፈ",(v) verb,verb,none
affection,"ስምዒት, ፍቕሪ",(n) noun,noun,none
affectionate,"ስምዒታዊ, ፈቃር",(a) adjective,adjective,none
affirm,"ምርግጋጽ, ኣመስለ",(v) verb,verb,none
affirmable,ርግጻዊ,(a) adjective,adjective,none
affirmably,ብርግጽ,(adv) adverb,adverb,none
afford,"ምኽኣል, ኪኸፍል",(v) verb,verb,none
affordable,ክኣል,(a) adjective,adjective,none
"afraid, be",ፈርሐ,(v) verb,verb,none
after,ድሕሪ ሓጺር ግዜ,(adv) adverb,adverb,none
afterwards,ቀጺሉ,(adv) adverb,adverb,none
afterwards,ድሓር,(prep) preposition,preposition,none
age,ዕድመ ሂወት,(n) noun,noun,none
age,ኣረገ,(v) verb,verb,none
aged,ኣረጊት,(an) adjective noun,adjective,noun-derived
agency,ወካሊት,(nf) noun feminine,noun,feminine
agency,ወካሊ,(nm) noun masculine,noun,masculine
agency,ወከልቲ,(npl) noun plural,noun,plural
agile,ንጡፍ,(a) adjective,adjective,none
agitate,ምዕግርጋር,(v) verb,verb,none
agitation,"ዕግርግር, ረብሻ",(n) noun,noun,none
agony,ጭንቀት,(n) noun,noun,none
agree,"ምስምማዕ, ተሰማምዐ",(v) verb,verb,none
agreeable,ዝሰማማዕ,(a) adjective,adjective,none
agreement,ስምምዕ,(n) noun,noun,none
agricultural,ሕርሻዊ,(a) adjective,adjective,none
agriculture,ሕርሻ,(n) noun,noun,none
ahead,ብቕድሚ,(adv) adverb,adverb,none
aid,ረዲኤት,(n) noun,noun,none
aim,ሃቀነ,(v) verb,verb,none
aim at,ጨመተ,(v) verb,verb,none
air,"ንፋስ, ኣየር",(n) noun,noun,none
airplane,ነፋሪት,(n) noun,noun,none
airport,መዕረፍ ነፈርቲ,(n) noun,noun,none
alarm,"መጠንቀቕታ,",(n) noun,noun,none
alarm,ምጥንቓቕ,(v) verb,verb,none
alight (set),ተባርዐ,(v) verb,verb,none
align,"ረበበ, ምግጣም, ምስራዕ",(v) verb,verb,none
alive,ሂወታዊ,(a) adjective,adjective,none
"alive, be","ነበረ, ምህላው,ምትንፋስ",(v) verb,verb,none
all,ኩሉ,(adv) adverb,adverb,none
alliance,"ኪዳን, ምሕዝና,ምሕዝነት",(n) noun,noun,none
allow,ኣፍቀደ,(v) verb,verb,none
alone,"እንኮ ንብሕቶ, ጽሙዋ",(a) adjective,adjective,none
alphabet,ፈደል,(n) noun,noun,none
already,(n adv) ድሮ,(uncategorized) Uncategorized,uncategorized,none
always,ኩሉ ግዜ,(adv) adverb,adverb,none
amateur,ተልመደን,(n) noun,noun,none
