English,Tigrigna,POS_CATEGORIES
a little,"ንእሽቶይ, ቁሩብ,ውሕድ",(adv) adverb
a long time,ነዊሕ ግዝ,(adv) adverb
a lot,ብዙሕ,(adv) adverb
abandon,"ገደፈ, ረጥረጠ",(v) verb
abandonment,ርጥረጣ,(n) noun
abbot,ኣባ,(n) noun
ability,"ጥበብ, ክእለት, ብቕዓት",(n) noun
able,"ጥበባዊ, ክእለታዊ",(a) adjective
above,ኣብ ልዕሊ,(adv) adverb
abrupt,ሃንደበት,(n) noun
abruptly,ብጋህዲ,(adv) adverb
abscess,ሓገል,(n) noun
absence,ብኩራት,(n) noun
absent (from oneself),ቦኾረ,(v) verb
absent,ብኹር,(a) adjective
absent minded,ዝንጉዕ,(a) adjective
absent mindedness,ምዝንጋዕ,(n) noun
absolute,ፍጹም,(a) adjective
absolutely,ብፍጹም,(adv) adverb
absolve,ፈተሐ,(v) verb
abundance,"ታዐሚ, እኹልተረፍ",(n) noun
abuse,"በደል, ጸርፊ",(n) noun
abuse,ጸረፈ,(v) verb
abusive,በደላዊ,(a) adjective
abusively,ብድላ,(a) adjective
accept,ተቐበለ,(v) verb
accident,ሓደጋ,(n) noun
accidental,"ሓደጋዊ, ሃንደበታዊ",(a) adjective
accidentally,ብሓደጋ,(a) adjective
acclaim,ኣጨብጨበ,(v) verb
acclamation,ውዕውዕ ደገፍታ,(n) noun
accompany,ኣሰነየ,(v) verb
account,ሕሳብ,(n) noun
accuracy,"ሓቂ, ልክዕ, ቅኑዕ,ልክዕነት",(n) noun
accurate,"ሓቓዊ, ልክዓዊ, ቕንዓዊ",(a) adjective
accurately,"ብሓቂ, ብልክዕ,ብቑኑዕ",(a) adjective
accusation,"ወከሰ, ክሲ",(n) noun
accuse,"ምውካስ, ከሰሰ",(v) verb
accuser,"ወካሲት, ከሳሲት",(nf) noun feminine
accuser,"ወካሲ, ከሳሲ",(nm) noun masculine
accusers,"ወከስቲ, ከሰስቲ",(np) noun plural
"accustomed, get",ኣልመደ,(v) verb
ache,ቓንዛ,(n) noun
achieve,ፈጸመ,(v) verb
achievement,ጭብጢ,(n) noun
aching,መቐንዘዊ,(a) adjective
achy,ቓንዛዊ,(a) adjective
acidic,መጺጽ,(a) adjective
acorn,ፍረ ኦክ,(n) noun
acquaint,"ምልላይ, ምፍላጥ",(v) verb
acquaintance,"ሌላ, ፍልጠት",(n) noun
acquire,ረኸበ,(v) verb
acquit,"ፈተሐ, ንጹህ, ቕንዕና",(v) verb
acquittal,"ምኽፋል ዕዳ,",(n) noun
